n,jay,crow,tree,food
Alamo Square,0.045,0.418,109.3,
Aquatic Park / Ft. Mason,0.156,0.410,26.0,
Ashbury Heights,0.316,0.544,165.8,
Bayview,0.018,0.375,217.2,
Bernal Heights,0.392,0.542,271.1,292
Buena Vista,0.511,0.383,235.4,
Candlestick Point SRA,0.265,0.392,83.8,
Central Waterfront,0.007,0.294,45.2,
Chinatown,0.000,0.105,12.1,532
Corona Heights,0.528,0.360,312.4,
Diamond Heights,0.566,0.377,398.2,
Financial District,0.000,0.244,8.4,
Fishermans Wharf,0.000,0.232,18.2,
Glen Park,0.449,0.421,289.3,49
Golden Gate Heights,0.591,0.405,441.2,
Golden Gate Park,0.486,0.393,522.1,15
Holly Park,0.254,0.589,198.4,
Hunters Point,0.049,0.418,92.3,
India Basin,0.098,0.423,44.1,
Inner Richmond,0.301,0.430,187.4,400
Inner Sunset,0.448,0.382,234.6,359
Lakeshore,0.223,0.426,156.3,226
Lincoln Park / Ft. Miley,0.290,0.324,298.7,
Marina,0.013,0.325,22.4,456
McLaren Park,0.384,0.492,342.8,1
Merced Heights,0.306,0.408,178.2,
Midtown Terrace,0.432,0.521,387.4,
Miraloma Park,0.418,0.287,312.1,
Mission,0.088,0.324,78.4,1667
Mission Bay,0.000,0.240,12.8,540
Mission Dolores,0.122,0.683,88.4,
Nob Hill,0.032,0.258,28.4,441
Noe Valley,0.378,0.378,198.4,223
North Beach,0.042,0.375,32.1,403
Outer Mission,0.182,0.455,142.3,165
Outer Richmond,0.398,0.365,298.4,435
Outer Sunset,0.412,0.381,267.8,
Pacific Heights,0.030,0.251,44.2,192
Parnassus Heights,0.512,0.345,412.3,
Portola,0.056,0.667,78.2,123
Potrero Hill,0.072,0.244,62.4,300
Presidio National Park,0.298,0.364,487.2,
Russian Hill,0.022,0.269,32.4,285
St. Marys Park,0.241,0.595,198.4,
Sunnyside,0.300,0.500,168.3,
Tenderloin,0.000,0.222,8.2,884